BLDG_ID,X,Y,OEM_LABEL,BLDG_ADD,BOROCODE,CITY,CROSS1,CROSS2,ZIP_CODE,ACCESSIBLE,ACC_FEAT
R056,924782.428,136810.6621,PS 56,250 Kramer Avenue,5,Staten Island,Winant Avenue,Kramer Avenue,10309,Y,"The main/accessible entrance to this location for sheltering purposes is 250 Kramer Avenue, Staten Island (Close to the intersection with Winant Avenue)"
R600,962320.7125,173486.1518,Ralph McKee HS,290 St Marks Place,5,Staten Island,Wall Street,Fort Place,10301,N,
R880,955277.6252,161167.3145,Petrides Complex,715 Ocean Terrace,5,Staten Island,Milford Drive,Witteman Place,10301,N,
X074,1015996.575,236540.9722,IS 201,730 Bryant Avenue,2,Bronx,Lafayette Avenue,Spofford Avenue,10474,N,
X102,1021265.645,244686.6022,PS 102,1827 Archer Street,2,Bronx,Taylor Avenue,Thieriot Avenue,10460,N,
X132,1009988.683,242372.2079,PS 132,1245 Washington Avenue,2,Bronx,E 168 Street,E 169 Street,10456,N,
X137,1012680.332,250587.4506,IS 391,2225 Webster Avenue,2,Bronx,E 180 Street,E 182 Street,10457,Y,"The main/accessible entrance to this location for sheltering purposes is 2190 Folin Street, Bronx (Between East 182nd Street and Tiebout Avenue)"
X141,1007980.264,262833.2477,MS - HS 141,660 W 237 Street,2,Bronx,Hudson Manor Terrace,Independence Avenue,10463,N,
X158,1011682.751,240713.1318,IS 158,800 Home Street,2,Bronx,Tinton Avenue,Union Avenue,10456,N,
X193,1014555.098,246700.8088,PS 211,1919 Prospect Avenue,2,Bronx,E 176 Street,East Tremont Avenue,10457,N,
X235,1006480.204,243680.011,PS - IS 218,1220 Gerard Avenue,2,Bronx,E 167 Street,E 168 Street,10452,Y,"The main/accessible entrance to this location for sheltering purposes is 1220 Gerard Avenue, Bronx (Close to the intersection with East 167th Street)"
X306,1008935.846,249473.4243,PS 306,40 West Tremont Avenue,2,Bronx,W 177 Street,Jerome Avenue,10453,N,
X362,1024986.68,262914.7259,IS - HS 362,921 E 228 Street,2,Bronx,Bronxwood Avenue,Paulding Avenue,10466,Y,"The main/accessible entrance to this location for sheltering purposes is 921 East 228th Street, Bronx (Between Bronxwood Avenue and Paulding Avenue)"
X430,1012724.883,256234.7412,Walton HS,2780 Reservoir Avenue,2,Bronx,W 195 Street,Strong Street,10468,N,
X460,1006660.984,240759.7754,"HS of Law, Gov't and Justice",244 E 163 Street,2,Bronx,Sherman Avenue,Grant Avenue,10451,Y,The main/accessible entrance to this location for sheltering purposes is 244 East 163rd Street (Between Grant Avenue and Sherman Avenue)
